id,marks,suggested_words,suggested_minutes
1,10,300,25
2,10,300,25
3,5,150,12
4,5,150,12
5,5,150,12
6,5,150,12
7,2,50,4
8,2,50,4
9,2,50,4
10,2,50,4
11,2,50,4
12,10,300,25
13,,,
14,5,150,12
15,5,150,12
16,5,150,12
17,5,150,12
18,2,50,4
19,2,50,4
20,2,50,4
21,2,50,4
22,2,50,4
23,10,300,25
24,10,300,25
25,5,150,12
26,5,150,12
27,5,150,12
28,5,150,12
29,2,50,4
30,2,50,4
31,2,50,4
32,2,50,4
33,2,50,4
34,10,300,25
35,10,300,25
36,5,150,12
37,5,150,12
38,5,150,12
39,,,
40,2,50,4
41,2,50,4
42,2,50,4
43,2,50,4
44,2,50,4
45,10,300,25
46,10,300,25
47,5,150,12
48,5,150,12
49,5,150,12
50,5,150,12
51,2,50,4
52,2,50,4
53,2,50,4
54,2,50,4
55,2,50,4
56,10,300,25
57,10,300,25
58,5,150,12
59,5,150,12
60,5,150,12
61,5,150,12
62,2,50,4
63,2,50,4
64,2,50,4
65,2,50,4
66,2,50,4
67,10,300,25
68,10,300,25
69,5,150,12
70,5,150,12
71,5,150,12
72,5,150,12
73,2,50,4
74,2,50,4
75,2,50,4
76,2,50,4
77,2,50,4
78,10,300,25
79,10,300,25
80,5,150,12
81,5,150,12
82,5,150,12
83,5,150,12
84,2,50,4
85,2,50,4
86,2,50,4
87,2,50,4
88,2,50,4
89,5,150,12
90,5,150,12
