topic_id,name,syllabus_unit,n_questions,years_asked,year_share,total_marks,expected_marks,last_asked_year,years_since_last,due_score,max_repeat_count,n_notes,has_notes,effort_hours,marks_per_hour,priority
1,Arrays and Complexity Analysis,Unit 1: Fundamentals,3,3,0.375,17,1.9197477702403731,2023,3.0,0.562,1,1,True,2.0,0.9598738851201866,1.121852603234218
2,Recursion,Unit 1: Fundamentals,2,2,0.25,2,0.33633310986094006,2024,2.0,0.25,1,1,True,2.0,0.16816655493047003,0.18077904655025528
3,Sorting Algorithms,Unit 1: Fundamentals,8,8,1.0,34,4.307967794152325,2025,1.0,0.5,3,1,True,2.0,2.1539838970761624,2.477081481637587
4,Searching Algorithms,Unit 1: Fundamentals,6,6,0.75,20,2.289959981073369,2025,1.0,0.375,4,0,False,2.5,0.9159839924293476,1.0190321915776492
5,Linked Lists,Unit 2: Linear Structures,4,4,0.5,32,4.451960503329369,2025,1.0,0.25,2,1,True,2.0,2.2259802516646845,2.3929287705395357
6,Stacks,Unit 2: Linear Structures,7,7,0.875,25,3.5575252030066133,2025,1.0,0.438,3,1,True,2.0,1.7787626015033067,2.012225192950616
7,Queues,Unit 2: Linear Structures,7,7,0.875,20,2.6195686061351395,2025,1.0,0.438,4,1,True,2.0,1.3097843030675698,1.4816934928451884
8,Hashing,Unit 2: Linear Structures,3,3,0.375,20,1.9609964702904594,2022,4.0,0.75,1,0,False,2.5,0.7843985881161838,0.9608882704423252
9,Binary Trees and Traversals,Unit 3: Trees,6,6,0.75,23,3.4769364870870816,2025,1.0,0.375,3,1,True,2.0,1.7384682435435408,1.9340459209421892
10,Binary Search Trees,Unit 3: Trees,6,6,0.75,15,1.7165140674776291,2023,3.0,1.0,3,0,False,2.5,0.6866056269910517,0.8925873150883672
11,AVL Trees,Unit 3: Trees,7,7,0.875,39,5.099554739394763,2025,1.0,0.438,2,0,False,2.5,2.039821895757905,2.3075485195761303
12,Heaps,Unit 3: Trees,4,4,0.5,17,1.7080545180020121,2022,4.0,1.0,2,0,False,2.5,0.6832218072008048,0.8881883493610463
13,Graph Representation,Unit 4: Graphs,3,3,0.375,12,1.647594452006824,2025,1.0,0.188,2,1,True,2.0,0.823797226003412,0.8701358199661038
14,BFS and DFS,Unit 4: Graphs,7,7,0.875,37,4.50638486811268,2025,1.0,0.438,4,1,True,2.0,2.25319243405634,2.548923941026235
15,Shortest Path,Unit 4: Graphs,5,5,0.625,21,3.1200209060668858,2025,1.0,0.312,2,0,False,2.5,1.2480083624267544,1.3650091464042626
16,Minimum Spanning Tree,Unit 4: Graphs,5,5,0.625,16,2.3604558326554788,2025,1.0,0.312,3,0,False,2.5,0.9441823330621915,1.032699426786772
17,Dynamic Programming,Unit 5: Advanced,4,4,0.5,25,2.792861721948816,2023,3.0,0.75,2,0,False,2.5,1.1171446887795264,1.36850224375492
18,Greedy Algorithms,Unit 5: Advanced,0,0,0.0,0,0.0,,,0.0,0,0,False,2.5,0.0,0.0
19,B-Trees,Unit 5: Advanced,0,0,0.0,0,0.0,,,0.0,0,0,False,2.5,0.0,0.0
20,Tries,Unit 5: Advanced,0,0,0.0,0,0.0,,,0.0,0,0,False,2.5,0.0,0.0
